id,structure_id,metric_id,value,date_key
0,1,1,1491575477,7/31/2016
1,1,1,1498256313,8/31/2016
2,1,1,1498768368,9/30/2016
3,1,1,1501930933,10/31/2016
4,1,1,1529407369,11/30/2016
5,1,1,1569731607,12/31/2016
6,1,1,1567834201,1/31/2017
7,1,1,1581874207,2/28/2017
8,1,1,1594364583,3/31/2017
9,1,1,1627525872,4/30/2017
10,1,1,1647803913,5/31/2017
11,1,1,1826344692,6/30/2017
12,3,1,7762494.39,7/31/2016
13,3,1,11137109.25,8/31/2016
14,3,1,10842910.52,9/30/2016
15,3,1,11433171.62,10/31/2016
16,3,1,11147071.23,11/30/2016
17,3,1,369612.0696,12/31/2016
18,3,1,399598.2316,1/31/2017
19,3,1,600409.7374,2/28/2017
20,3,1,1995375.976,3/31/2017
21,3,1,2078086.454,4/30/2017
22,3,1,2056291.028,5/31/2017
23,3,1,2096551.68,6/30/2017
24,4,1,15852903.24,7/31/2016
25,4,1,21429777.7,8/31/2016
26,4,1,20978685.07,9/30/2016
27,4,1,21715423.6,10/31/2016
28,4,1,21206252.81,11/30/2016
29,4,1,1275106.906,12/31/2016
30,4,1,1536618.126,1/31/2017
31,4,1,3680869.732,2/28/2017
32,4,1,10617664.43,3/31/2017
33,4,1,10695495.32,4/30/2017
34,4,1,10302786.47,5/31/2017
35,4,1,10312979.05,6/30/2017
36,5,1,8019392.023,7/31/2016
37,5,1,9741470.455,8/31/2016
38,5,1,9561007.14,9/30/2016
39,5,1,9812127.518,10/31/2016
40,5,1,9422658.941,11/30/2016
41,5,1,231850.3867,12/31/2016
42,5,1,327944.2887,1/31/2017
43,5,1,1305301.155,2/28/2017
44,5,1,3970875.268,3/31/2017
45,5,1,4052236.113,4/30/2017
46,5,1,3940713.746,5/31/2017
47,5,1,3942462.372,6/30/2017
48,6,1,101684504.7,7/31/2016
49,6,1,135575134.9,8/31/2016
50,6,1,131864482.9,9/30/2016
51,6,1,138825322.9,10/31/2016
52,6,1,135032088.8,11/30/2016
53,6,1,4436188.73,12/31/2016
54,6,1,6144393.503,1/31/2017
55,6,1,20488018.64,2/28/2017
56,6,1,64465934.62,3/31/2017
57,6,1,66091652.48,4/30/2017
58,6,1,64153471.73,5/31/2017
59,6,1,64314656.41,6/30/2017
60,7,1,3823018.229,7/31/2016
61,7,1,4012841.286,8/31/2016
62,7,1,3800878.914,9/30/2016
63,7,1,4251435.314,10/31/2016
64,7,1,4190110.264,11/30/2016
65,7,1,325775.1398,12/31/2016
66,7,1,478604.5313,1/31/2017
67,7,1,2366309.975,2/28/2017
68,7,1,6289666.263,3/31/2017
69,7,1,6399213.94,4/30/2017
70,7,1,6202021.256,5/31/2017
71,7,1,6239550.644,6/30/2017
72,8,1,1870909848,7/31/2016
73,8,1,1887067458,8/31/2016
74,8,1,1902535323,9/30/2016
75,8,1,1966793427,10/31/2016
76,8,1,2066719511,11/30/2016
77,8,1,2136441757,12/31/2016
78,8,1,2122023490,1/31/2017
79,8,1,2367793640,2/28/2017
80,8,1,2492642057,3/31/2017
81,8,1,2520431768,4/30/2017
82,8,1,2645626649,5/31/2017
83,8,1,2625335331,6/30/2017
84,9,1,1870909848,7/31/2016
85,9,1,1887067458,8/31/2016
86,9,1,1902535323,9/30/2016
87,9,1,1966793427,10/31/2016
88,9,1,2066719511,11/30/2016
89,9,1,2136441757,12/31/2016
90,9,1,2122023490,1/31/2017
91,9,1,2367793640,2/28/2017
92,9,1,2492642057,3/31/2017
93,9,1,2520431768,4/30/2017
94,9,1,2645626649,5/31/2017
95,9,1,2625335331,6/30/2017
96,10,1,114321891.7,7/31/2016
97,10,1,114236056.4,8/31/2016
98,10,1,115273103.1,9/30/2016
99,10,1,114242363.8,10/31/2016
100,10,1,114243506.1,11/30/2016
101,10,1,116274327.7,12/31/2016
102,10,1,116139515.3,1/31/2017
103,10,1,116154582.8,2/28/2017
104,10,1,117221340.2,3/31/2017
105,10,1,155529173.7,4/30/2017
106,10,1,156791639.7,5/31/2017
107,10,1,166293333.3,6/30/2017
108,11,1,503633590.2,7/31/2016
109,11,1,505644989.7,8/31/2016
110,11,1,522912388.8,9/30/2016
111,11,1,518649126.8,10/31/2016
112,11,1,516112964.8,11/30/2016
113,11,1,533432718.5,12/31/2016
114,11,1,526930503.5,1/31/2017
115,11,1,521462361.1,2/28/2017
116,11,1,535751796.6,3/31/2017
117,11,1,543147780.6,4/30/2017
118,11,1,565941579.7,5/31/2017
119,11,1,562531520.8,6/30/2017
120,12,1,1083636145,7/31/2016
121,12,1,1096697748,8/31/2016
122,12,1,1096647872,9/30/2016
123,12,1,1173644209,10/31/2016
124,12,1,1274979317,11/30/2016
125,12,1,1309220697,12/31/2016
126,12,1,1303696100,1/31/2017
127,12,1,1562127365,2/28/2017
128,12,1,1578759464,3/31/2017
129,12,1,1645831672,4/30/2017
130,12,1,1733057564,5/31/2017
131,12,1,1704143772,6/30/2017
132,13,1,169318221.2,7/31/2016
133,13,1,170488664,8/31/2016
134,13,1,167701959.6,9/30/2016
135,13,1,160257727.9,10/31/2016
136,13,1,161383723.5,11/30/2016
137,13,1,177514014.5,12/31/2016
138,13,1,175257371.1,1/31/2017
139,13,1,168049331.8,2/28/2017
140,13,1,170948654.9,3/31/2017
141,13,1,175923141.6,4/30/2017
142,13,1,189835865.7,5/31/2017
143,13,1,192366704.1,6/30/2017
144,14,1,169318172.5,7/31/2016
145,14,1,170488556.4,8/31/2016
146,14,1,167701472.9,9/30/2016
147,14,1,160257904.9,10/31/2016
148,14,1,161383242.3,11/30/2016
149,14,1,177513737.5,12/31/2016
150,14,1,175257727,1/31/2017
151,14,1,168049342.8,2/28/2017
152,14,1,170948569.6,3/31/2017
153,14,1,175923103.9,4/30/2017
154,14,1,189836358.2,5/31/2017
155,14,1,192367058.7,6/30/2017
156,15,1,2085521630,7/31/2016
157,15,1,2154313908,8/31/2016
158,15,1,2141611894,9/30/2016
159,15,1,2162658208,10/31/2016
160,15,1,2120461600,11/30/2016
161,15,1,2164890325,12/31/2016
162,15,1,2182298327,1/31/2017
163,15,1,2120216299,2/28/2017
164,15,1,2188153827,3/31/2017
